"Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal"
-2.4591,-9.2321,-6.9281,-3.5406,-4.8814,-0.447,1.1594,-4.2152,-2.1488,-1.8556,-1.6544,-5.4326,0.7266,-4.827,-1.1005,-2.3695,-3.1006,-5.0251,0.2996,4.3898,0.3627,-2.1494,-0.249,-4.039,-2.6368,-2.464,-4.6355,-3.7751,-5.1951,-6.6324,-2.3473,-3.4889
-2.659,-9.9163,-7.4683,-3.8215,-5.2628,-0.5784,1.253,-4.5358,-2.3549,-1.985,-1.7985,-5.8087,0.6905,-5.1812,-1.2782,-2.5373,-3.3178,-5.4048,0.224,4.5258,0.3596,-2.3237,-0.3157,-4.3649,-2.906,-2.6788,-5.0213,-4.0775,-5.6096,-7.1761,-2.5203,-3.7731
-2.7698,-10.6173,-8.0273,-4.1048,-5.6358,-0.5657,1.3639,-4.871,-2.5,-2.0746,-1.9278,-6.2075,0.7741,-5.5477,-1.3527,-2.6736,-3.5065,-5.813,0.3356,4.9548,0.4217,-2.4719,-0.328,-4.7089,-3.1176,-2.8693,-5.4272,-4.3742,-6.0472,-7.766,-2.7014,-4.0762
-2.7965,-11.3357,-8.612,-4.3963,-6.0101,-0.3886,1.5159,-5.2255,-2.5741,-2.1312,-2.041,-6.6444,0.9974,-5.9468,-1.2951,-2.8005,-3.6877,-6.255,0.6577,5.7162,0.5604,-2.5909,-0.2705,-5.061,-3.2551,-3.0338,-5.8524,-4.6528,-6.5197,-8.4086,-2.8991,-4.4128
-3.2336,-12.1132,-9.181,-4.7038,-6.4941,-0.7853,1.5582,-5.5499,-2.9146,-2.4157,-2.2703,-7.073,0.7974,-6.3514,-1.5806,-3.1458,-4.0951,-6.6225,0.2181,5.4567,0.429,-2.771,-0.3827,-5.4195,-3.5858,-3.2725,-6.2435,-5.0191,-6.9839,-8.95,-3.0865,-4.7282
0.048,-0.9825,1.4252,1.3872,0.3515,1.8969,-0.6065,0.078,1.6931,-0.7145,-0.9603,0.0074,1.4987,-0.0567,0.9449,0.6553,0.9746,0.5355,1.168,1.1642,1.8772,-0.5385,1.3373,0.1134,0.9659,-1.1303,-2.0706,-0.3017,-0.3564,-0.3284,0.9416,-1.0757
-10.7305,-14.2182,-10.1687,-5.6538,-8.8571,-12.2131,0.1209,-5.8644,-8.5181,-5.9503,-4.3082,-6.9327,-8.2678,-6.7505,-10.2652,-6.0827,-7.0799,-6.1811,-14.53,-15.5938,-4.6714,-5.1794,-4.6896,-6.0884,-9.0675,-5.8247,-6.6737,-7.2083,-7.2204,-8.2034,-3.0692,-4.5509
0.4311,-2.4316,0.5269,1.804,0.3383,0.7194,-1.772,1.0343,3.345,0.0526,-1.0796,-0.151,-0.4253,1.2049,3.992,0.8115,1.6578,1.2441,-4.7743,-3.5517,0.5855,0.9866,1.5767,1.0096,1.4359,0.6433,0.3161,-0.0607,-0.7061,1.4672,-1.547,-1.4437
1.1302,-4.302,-0.6854,1.3052,-0.1831,1.3304,-0.4844,0.1915,2.6445,1.4795,-0.5385,-0.778,-1.2256,0.914,2.0556,1.8569,3.2663,-0.3431,-3.13,-3.7375,0.3186,0.6786,0.7697,-1.1335,-0.4785,0.6386,-0.4779,-0.945,-1.5308,-0.6726,-2.9772,-1.2909
1.3818,-3.3063,-1.6496,0.0587,-0.2684,1.2184,-0.3116,0.4092,1.6703,1.5173,-0.6646,-1.2906,-1.8705,0.8737,1.1685,1.6943,2.777,-0.5724,-1.0879,-3.6772,0.3642,1.0032,0.4444,-4.1073,-1.3533,0.3462,-0.8204,-2.2345,-2.3961,-3.2133,-3.9507,-1.1006
