,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal
1,3.3015,0.4944,1.7068,0.0455,2.6483,-0.6454,-0.594,2.6799,2.8047,3.5251,1.0022,3.1853,2.6784,2.4474,1.1103,5.393,4.9139,-0.7738,2.8006,0.6043,2.3075,2.0148,0.9718,1.1427,0.9616,2.4223,0.1513,-1.6095,-0.7652,0.8952,0.035,3.762
2,3.5376,0.5476,1.8029,0.0429,2.8041,-0.722,-0.642,2.8485,2.9892,3.7534,1.062,3.4007,2.8481,2.6148,1.1913,5.7995,5.2632,-0.8207,2.9871,0.6354,2.4752,2.1505,1.0386,1.1935,1.0193,2.5889,0.1406,-1.7359,-0.8343,0.9588,0.0271,4.0338
3,3.8494,0.6217,1.9277,0.0274,3.042,-0.8015,-0.6995,3.0843,3.2551,4.0715,1.1471,3.6906,3.0943,2.8578,1.3126,6.365,5.7538,-0.8827,3.2477,0.7349,2.7065,2.3617,1.1126,1.2858,1.0738,2.8052,0.1209,-1.8968,-0.9403,1.0434,0.0402,4.3974
4,4.232,0.718,2.0825,-0.0034,3.3514,-0.8846,-0.7623,3.3841,3.5974,4.4709,1.2595,4.0415,3.4201,3.1618,1.4668,7.0618,6.3741,-0.9727,3.5702,0.8636,3.0017,2.6342,1.1987,1.4151,1.1235,3.0774,0.0963,-2.0921,-1.071,1.1506,0.0645,4.839
5,4.3663,0.7359,2.1442,0.0048,3.3414,-0.9883,-0.7987,3.4581,3.6512,4.56,1.2836,4.1216,3.4833,3.1932,1.4655,7.1835,6.516,-1.0417,3.6172,0.6553,3.0911,2.6201,1.2813,1.3867,1.2068,3.1978,0.1029,-2.1874,-1.0618,1.1888,-0.0207,4.9495
6,1.6837,0.0757,1.3811,1.5124,1.7355,0.88,2.6212,1.9941,1.5615,1.6939,0.8936,1.3204,1.5924,0.6743,0.4916,5.0166,2.6978,0.1513,2.7396,3.9696,2.9101,3.5181,0.2421,2.1135,1.4548,2.4737,1.302,1.1961,0.1062,0.0656,0.6657,0.9653
7,0.2039,-0.587,0.448,0.8509,-1.8686,-1.3623,-0.434,-0.5183,-1.237,-0.6972,-0.3532,-0.1195,-1.2292,-1.1796,-0.9675,-1.8494,-1.6815,-0.1392,-0.7346,-3.7601,-0.5845,-1.9399,0.9775,-1.3274,1.7573,0.3673,0.5066,-0.4281,0.9917,-0.0594,-1.5341,-0.1524
8,1.3174,3.8963,2.571,1.85,0.0851,-0.2349,-2.7758,0.2051,-2.069,0.1943,0.4522,0.2563,-1.3861,0.6378,-1.056,-0.5261,-0.494,2.8193,0.5649,4.0396,0.3906,-0.1611,1.8362,0.1335,2.3779,0.1551,1.5668,-0.0264,1.5442,1.5343,0.132,0.484
9,-2.2197,-1.1044,-1.0956,1.8261,-3.4102,-1.157,-0.2638,-3.3541,-3.6449,-3.6621,-1.7417,-1.3255,-4.5165,-2.4981,-1.2705,-3.9733,-6.5741,2.4682,-1.8452,0.0581,-3.312,-2.8032,-0.6546,-2.4793,1.255,-2.4106,0.0655,1.1627,0.7437,-1.1175,-0.4609,-1.0573
10,0.8096,1.8633,1.0454,0.8687,-0.1645,-0.6243,-0.6276,-0.4529,0.102,0.2307,0.0836,1.0994,-0.7398,0.9645,1.0346,1.9697,-1.0769,3.3168,1.7237,4.6149,-0.3154,0.7037,0.3114,0.7032,0.6742,0.2301,0.9195,0.1122,0.38,-0.1919,1.3636,2.4654
11,0.7138,4.8483,0.2891,0.1767,2.0769,0.7238,-1.0594,-0.6748,0.6793,0.4718,0.4524,-0.6055,0.6039,0.2722,1.1452,0.4192,-1.06,0.3614,0.3846,3.1336,0.8419,0.7116,-0.1315,0.155,-0.7352,0.3946,0.2317,-0.2447,0.8938,-0.367,1.2335,1.636
12,-2.9526,1.9068,-1.1501,0.1056,-1.7844,0.7707,3.5921,-3.657,-1.4578,-4.5334,-0.9291,-4.1963,-1.3099,-3.8451,-0.7556,-5.8915,-7.1962,-0.6494,-2.9573,-2.5389,-1.7733,-2.3031,-1.715,-0.9142,-2.5122,-0.5277,-0.4881,2.1292,1.8932,-1.0113,0.4978,-1.8709
13,-2.6201,1.7657,-2.0711,-1.4396,-2.4261,1.0428,5.0084,-2.9982,-0.8114,-3.7871,-1.3987,-5.1113,-1.4217,-2.4865,-0.8078,-5.0334,-5.0454,-1.0305,-3.3223,-3.0882,-1.3097,-1.3454,-1.2286,-0.8011,-2.0604,-0.6338,-1.104,1.2737,0.2964,-1.5664,0.1711,-3.2582
14,-2.0648,1.4812,-3.0132,-2.9499,-2.9148,1.2261,6.2088,-2.1797,-0.07,-2.7569,-1.9178,-5.6462,-1.6028,-0.7238,-0.7312,-3.4561,-2.4588,-1.1124,-3.3777,-2.8467,-0.8238,-0.0703,-0.7512,-0.6535,-1.4381,-0.8543,-1.7918,0.2876,-1.633,-2.1301,-0.0316,-4.3144
15,0.9218,0.6558,-3.7437,-3.0584,-2.3983,-0.9029,1.8612,-0.6039,0.9906,-0.5853,-1.7323,-3.5469,0.3654,1.584,-0.7692,-3.432,-0.1395,-1.7939,-2.9401,-4.8432,-1.8131,-1.3863,0.3543,-0.8691,-0.9053,-1.7009,-2.053,-1.7604,-0.8536,-1.5248,-1.0469,-1.2884
16,-1.1808,0.7713,-3.3425,-3.8801,-3.0483,0.7927,5.8537,-1.1276,0.3917,-1.6418,-2.1407,-5.4439,-1.3632,0.9887,-0.7069,-1.8059,0.0599,-0.9456,-3.0981,-1.362,-0.1824,1.2409,-0.3889,-0.3299,-1.0006,-1.2766,-2.4212,-0.5687,-3.0386,-2.2628,0.0058,-4.4352
17,-0.8722,0.3282,-2.7483,-3.3244,-2.755,0.1725,4.3181,-0.9003,0.0847,-1.5765,-1.8577,-4.7589,-0.9705,0.9217,-0.789,-1.8107,-0.0191,-0.7186,-2.8117,-0.2277,-0.0372,1.2425,-0.4788,-0.1749,-1.1596,-1.4875,-2.3608,-0.4493,-2.5123,-1.8447,0.2064,-3.5793
18,-0.5781,-0.1247,-2.111,-2.7016,-2.4513,-0.4805,2.6913,-0.7024,-0.2656,-1.5562,-1.5518,-4.042,-0.5623,0.7823,-0.8815,-1.8872,-0.2035,-0.4843,-2.5242,0.9178,0.0894,1.1869,-0.588,-0.0309,-1.3447,-1.6991,-2.2748,-0.294,-1.9001,-1.3934,0.4123,-2.6659
19,-0.279,-0.5766,-1.5026,-2.1179,-2.1656,-1.1224,1.1132,-0.4939,-0.598,-1.5182,-1.2636,-3.3502,-0.169,0.6818,-0.9701,-1.9278,-0.333,-0.254,-2.2452,2.0517,0.2271,1.1628,-0.6908,0.1183,-1.5172,-1.916,-2.2077,-0.1597,-1.3393,-0.9642,0.6115,-1.7923
20,0.0278,-1.0407,-0.9121,-1.5636,-1.897,-1.7683,-0.4362,-0.2694,-0.9223,-1.4648,-0.9863,-2.6865,0.2184,0.6107,-1.0598,-1.9411,-0.4256,-0.0285,-1.9724,3.1847,0.3845,1.1756,-0.793,0.276,-1.6942,-2.1375,-2.1614,-0.0488,-0.82,-0.5495,0.8115,-0.9526
21,0.3603,-1.5415,-0.2804,-0.9993,-1.6102,-2.4536,-2.0484,-2.00E-04,-1.2598,-1.3824,-0.6973,-2.0384,0.6149,0.5756,-1.1574,-1.9203,-0.4821,0.1999,-1.6817,4.4177,0.5919,1.268,-0.9147,0.487,-1.9082,-2.3841,-2.1506,0.0545,-0.3174,-0.1372,1.0559,-0.1171
22,0.698,-2.0815,0.3425,-0.4467,-1.3335,-3.1794,-3.7325,0.2711,-1.6195,-1.3154,-0.4085,-1.4204,1.0224,0.545,-1.2792,-1.9402,-0.555,0.4178,-1.3837,5.7551,0.7703,1.3513,-1.0482,0.6805,-2.1343,-2.6561,-2.1681,0.1617,0.1853,0.2866,1.3319,0.7437
23,0.8933,-2.4751,0.7242,0.0107,-1.1793,-3.7614,-5.2404,0.2881,-1.9544,-1.4516,-0.2007,-0.8079,1.3726,0.3606,-1.4064,-2.238,-0.805,0.5882,-1.1882,6.8092,0.6068,0.994,-1.1158,0.5795,-2.1699,-2.8893,-2.0803,0.3557,0.764,0.7168,1.4457,1.6487
24,-0.1847,-0.6336,0.2271,-0.608,-1.4864,-2.7912,-3.1493,0.0881,-1.2354,-1.3964,-0.9924,0.4114,0.9913,-0.8455,-0.2515,-3.8673,-1.7324,0.849,-2.2199,1.7441,-0.3068,-1.234,-0.6326,-1.4574,-1.3305,-2.4923,-2.6665,-0.8988,-0.508,0.6773,-0.0144,1.8488
25,-0.4381,2.2366,-0.2392,-0.435,0.215,-1.5431,-2.9012,-1.5139,-0.7273,-0.9859,-0.7978,0.8454,1.2961,-0.7617,-0.0027,-1.7566,-0.7216,0.406,-1.1768,2.9659,-0.5689,-2.1567,-0.5592,-2.5816,-0.0013,-0.8684,-0.5335,-0.7811,0.1987,1.4586,-1.293,1.7629
26,-0.6355,0.0276,-0.5715,1.1213,-2.1021,-1.4165,-2.0111,-2.5922,-1.2602,-3.0639,-0.5924,2.7151,0.8049,-2.5042,-0.1215,-2.9348,-2.8314,1.3965,-2.4942,-2.1394,-0.8794,-3.7301,0.0827,-1.6353,0.0907,-1.096,1.3624,0.8535,2.75,1.139,-2.6946,2.2064
27,-0.9993,2.1303,-0.3877,1.0143,-0.4234,-1.0483,-1.752,-2.9916,-0.683,-1.198,-0.506,2.4001,-0.4465,-2.0983,-0.031,-0.194,-1.1619,1.0409,-0.3123,-1.6378,0.0944,-2.5472,-0.5624,-0.903,-0.1354,-0.4507,1.5467,-0.5596,1.0818,0.4113,-3.4464,0.3708
28,-1.5877,0.1139,-0.7026,1.4797,0.702,0.6904,-2.773,-2.3332,-0.2938,-1.9154,0.5667,1.8385,-2.6814,-1.905,0.0216,-0.0484,-0.2862,0.6728,1.1517,-3.0816,-1.295,-1.9445,0.1538,-0.3782,0.3046,-0.5928,1.1083,0.2137,-0.5316,-0.3429,-1.9968,0.7343
29,-0.4119,-1.5354,-2.0933,0.1971,0.5862,1.3031,-3.2518,-1.2008,-0.2227,-1.1605,1.7123,-0.3812,-3.2943,-1.1369,-0.0052,0.2091,0.3934,-0.078,1.6811,-3.7352,-2.303,-1.8468,0.9596,-1.625,0.553,-1.3758,-0.3312,-0.6988,-1.7767,-0.554,-0.6966,0.2508
30,0.5274,1.5395,-1.8973,-1.1232,-1.3609,0.4051,-3.6293,-1.1346,-0.9414,0.0398,1.7326,-2.3484,-2.0708,0.6032,0.045,0.8595,1.1612,-0.5661,-0.2197,-2.9392,-2.0163,-3.0416,0.5302,-2.4801,-0.1942,-3.1934,-2.0441,-1.4099,-0.3789,-0.4467,-0.1977,-1.3147
31,-0.0792,2.0036,-0.5626,-0.451,-2.383,1.697,0.7962,0.6998,-1.1986,-0.0451,1.2286,-3.1463,-1.022,1.842,-0.3695,0.9619,1.1211,-0.6334,-1.2291,-2.3375,-0.8795,-2.2824,-0.2144,-0.3544,-0.3107,-0.5684,-0.3778,0.5825,0.016,-0.2604,0.574,-3.2541
32,-1.2893,-1.0451,-0.1688,-0.8021,-4.6557,-0.5042,-2.7636,-0.5746,-1.2992,-0.8853,0.4646,-2.9077,-0.7885,1.5948,-1.681,-2.2947,-2.5475,-1.9263,-0.7708,-6.477,-1.7605,-4.0685,-0.4607,-1.2131,-1.1916,-1.6539,-0.5112,-0.3225,0.2244,0.4595,-0.9649,-1.6528
33,-2.5263,-1.8177,-1.2421,-1.5026,-3.6992,1.2857,1.4262,-0.3225,-0.2685,0.6466,-0.2479,-2.5828,0.1636,1.4033,-0.3829,-4.0149,-2.844,-2.2546,-0.9229,-6.3319,-0.2812,-2.7633,-0.7065,-0.345,-0.4851,-0.0294,0.5418,-0.7167,-2.2834,-0.8101,-1.4716,-2.6119
34,-1.6627,-3.4468,-0.6414,-0.8095,-1.8029,2.7965,0.8861,-1.4986,-0.1934,-0.1503,-0.1219,-1.2775,-0.8532,-0.5716,-0.591,-4.4593,-4.666,-1.5204,-0.5031,-8.2274,-1.76,-3.0666,-0.6076,-0.7383,-0.4958,-0.9878,0.7019,-0.4577,-2.4251,-0.9488,-2.1856,-1.5477
35,-1.883,-3.3765,-1.5816,-1.9385,-3.6854,-0.2359,-0.5505,-2.0424,-0.2587,0.065,0.3717,-1.1816,-1.4343,-1.617,0.412,-2.7003,-4.1332,-1.8037,0.8483,-5.5972,-0.5909,-1.9186,-0.8482,-1.4052,0.21,-1.4949,-0.6936,-1.8208,-2.5248,-1.998,-1.6356,-3.9986
