"","PC1","PC2"
"const",-0.0243928489277577,-0.0413663625463168
"sin1",0.0556248157124301,-0.0015951242140506
"cos1",-0.0208831060870754,0.101178554126691
"sin2",0.0987401113063417,-0.0555460936925876
"cos2",0.0418651138381017,-0.0260641274025562
"sin3",-0.0784655794801475,0.00299596691367617
"cos3",0.0497361354481198,-0.039073419736149
"sin4",0.0269546179215765,-0.0257387109641441
"cos4",-0.0252143761690861,-0.0300085703218236
"sin5",0.0471971976094007,-0.0405309300348645
"cos5",0.00671382628332459,-0.0247369947178421
"sin6",-0.00620582000881853,-0.0601543467895157
"cos6",0.0395889440931291,-0.0798198673345452
"sin7",-0.0190447369793248,-0.023287157307556
"cos7",-0.0181549033825224,0.0594504626302333
"sin8",-0.0444323735602747,-0.0921086449483199
"cos8",0.0690528471515117,-0.0266931975920256
"sin9",-0.177069927948709,0.0205332305238407
"cos9",0.0584939578279231,-0.0578023887931322
"sin10",-0.00327686097318114,0.0985301816952048
"cos10",0.0849707258117142,0.0270316031587809
"sin11",-0.0410821942525266,0.110732006043675
"cos11",0.0858769775394725,0.0509709656391941
"sin12",-0.0935503426082088,0.136458058178588
"cos12",0.00671389701686914,-0.103822820527835
"sin13",-0.0500502117041616,0.00376209985445118
"cos13",-0.0735384146177895,0.170493524084116
"sin14",-0.0566869867560711,-0.0607964954948437
"cos14",-0.04773425931099,-0.073860338306416
"sin15",0.0543461383389862,-0.0712039125340645
"cos15",-0.0748234870493731,-0.0700449659006275
"sin16",-0.0905694951705114,-0.156206358848371
"cos16",0.0827848097410146,-0.0850802852986437
"sin17",0.00755203103409333,-0.00931409892856934
"cos17",0.0251235897711362,-0.0682424126530615
"sin18",0.0958524790574946,0.0617944664399751
"cos18",0.148723589086189,-0.112538391438048
"sin19",0.116119586154899,0.00766733292283438
"cos19",0.0409225858802117,0.116165404459378
"sin20",-0.0940195958935347,0.070141192641165
"cos20",0.0558581780515058,0.084658150889387
"sin21",0.104729163080816,-0.0727333188849538
"cos21",0.0266172909152708,0.0225689300887197
"sin22",0.0303348441852044,-0.0469319873983961
"cos22",-0.189134334440639,-0.0638138624513671
"sin23",0.0301586676966176,0.049467676302882
"cos23",0.0638787480173451,-0.00115056881671793
"sin24",-0.0345406531748745,0.168492818290923
"cos24",-0.0286314452454511,0.00781469113802879
"sin25",-0.00674728478145189,0.0223259228007824
"cos25",0.0127936234544894,0.00607247664379295
"sin26",0.0790288073327388,-0.0457763258845709
"cos26",0.123270828191872,0.0677208148765735
"sin27",-0.00741540975693831,-0.0200555674687606
"cos27",0.156342319083943,-0.0415821699857775
"sin28",0.066522742549888,-0.00396572568867756
"cos28",0.0535540860833419,0.00382230514431495
"sin29",-0.0275080130655452,0.00291462936067598
"cos29",0.0299656645553951,-0.0814157194244203
"sin30",-0.0990560905965886,0.0615358941181583
"cos30",0.0892357791030932,0.172563335838597
"sin31",-0.0440993825623712,-0.137717507847669
"cos31",-0.14166835861075,0.0853602336469309
"sin32",0.0768958315286559,0.0329553129136779
"cos32",0.078464074739116,-0.029951897435368
"sin33",-0.00982005251712952,-0.0632464376944172
"cos33",0.0249570993738561,0.0108442621010482
"sin34",0.0343416909288503,0.00734654876798831
"cos34",-0.0152721949341909,-0.085391744036581
"sin35",-0.0696032110528794,0.0854192343582863
"cos35",-0.0785180515113068,0.0237251589161359
"sin36",0.0498734935842624,-0.119189286181492
"cos36",-0.129767144416537,-0.0735361554963005
"sin37",0.0776941359071343,0.08928586257397
"cos37",0.0364588182996351,0.00250818085735583
"sin38",-0.122252143317369,-0.170581473513914
"cos38",0.0638904517392263,0.0108565049249844
"sin39",-0.0961560226218367,0.0509052928657967
"cos39",-0.201513137358806,-0.0565414105254287
"sin40",0.0719319496696661,0.0219832022291747
"cos40",0.0671625827841519,0.0255702545146185
"sin41",0.0381482817764766,0.0698342048967207
"cos41",0.0902483933519502,-0.0884529964779625
"sin42",-0.00129144019564113,0.0695662802295314
"cos42",0.0642684785197498,0.0727142059360311
"sin43",0.0769997563181873,0.0407497625388089
"cos43",-0.00947144317764702,0.0393675839198675
"sin44",0.0669881936406718,0.109085624629769
"cos44",-0.104332257598168,-0.0545387245403955
"sin45",0.0347117323706506,-0.0445463678261747
"cos45",0.0706795064621508,0.0848941557084147
"sin46",0.00331661235204976,0.063721001073925
"cos46",0.130986495634892,0.036213142551244
"sin47",-0.0379607740661033,-0.0874023292417871
"cos47",0.070499380956039,0.0377925456973161
"sin48",0.069510758125533,-0.0505284157050084
"cos48",0.00298631447746446,-0.0150437803593726
"sin49",-0.0486226592378305,0.0857332428210602
"cos49",-0.0348476099554198,-0.0310082564659787
"sin50",0.0541631370937223,0.13038309797955
"cos50",-0.00663583910917192,0.0262109899210486
"sin51",-0.0414042041327238,-0.0782413251646924
"cos51",-0.0759113256515662,0.0532977097922192
"sin52",-0.0364489447238722,0.133825820529186
"cos52",-0.125490223316622,-0.0155398432568508
"sin53",-0.00161647560375262,-0.0177052065664068
"cos53",-0.0340480160449043,0.00788938378512871
"sin54",-0.0181973385141831,-0.0165503102576318
"cos54",0.0308638093775324,0.0986589710326147
"sin55",0.145907954788734,-0.114703117196078
"cos55",-0.0208028649856567,-0.055047779065392
"sin56",-0.0572422625525681,0.139668248835219
"cos56",0.0657435142244284,0.0215287637183269
"sin57",0.00519094911755361,-0.150531645622227
"cos57",-0.111984750239555,0.054720835406471
"sin58",0.0962143745153486,-0.0325811235777462
